"simulation_id","seed","dgp","cv_method","cv_mse","test_mse","estimation_error","squared_estimation_error","absolute_estimation_error","runtime_seconds","n_train","n_test","n_validation_predictions","k","h","success","error_message"
29,20289816,"AR(1)","rolling_origin",1.09118698455858,1.79003435427352,-0.698847369714943,0.488387646157494,0.698847369714943,0.00934290885925293,154,66,77,5,NA,TRUE,""
30,20290816,"AR(1)","kfold",1.03601023634706,0.738895856883766,0.297114379463294,0.088276954483858,0.297114379463294,0.00918292999267578,154,66,154,5,NA,TRUE,""
30,20290816,"AR(1)","blocked",1.0232578917412,0.738895856883766,0.284362034857431,0.080861766868259,0.284362034857431,0.00908493995666504,154,66,154,5,NA,TRUE,""
30,20290816,"AR(1)","hblock",0.992382387359382,0.738895856883766,0.253486530475617,0.0642554211325658,0.253486530475617,0.00992298126220703,154,66,154,5,5,TRUE,""
30,20290816,"AR(1)","rolling_origin",1.148697568921,0.738895856883766,0.409801712037235,0.167937443188649,0.409801712037235,0.00861096382141113,154,66,77,5,NA,TRUE,""
31,20291816,"AR(1)","kfold",0.902582852844732,1.00657414216306,-0.103991289318328,0.0108141882540883,0.103991289318328,0.0111620426177979,154,66,154,5,NA,TRUE,""
31,20291816,"AR(1)","blocked",0.941859520794515,1.00657414216306,-0.064714621368546,0.00418798221887427,0.064714621368546,0.00967907905578613,154,66,154,5,NA,TRUE,""
31,20291816,"AR(1)","hblock",0.95168269586996,1.00657414216306,-0.0548914462931006,0.00301307087614835,0.0548914462931006,0.0240671634674072,154,66,154,5,5,TRUE,""
31,20291816,"AR(1)","rolling_origin",0.634484383626649,1.00657414216306,-0.372089758536411,0.138450788407685,0.372089758536411,0.0153570175170898,154,66,77,5,NA,TRUE,""
32,20292816,"AR(1)","kfold",0.868373042923991,1.32942371036781,-0.461050667443815,0.212567717950388,0.461050667443815,0.0118658542633057,154,66,154,5,NA,TRUE,""
32,20292816,"AR(1)","blocked",0.864672602931707,1.32942371036781,-0.464751107436099,0.215993591863081,0.464751107436099,0.0116729736328125,154,66,154,5,NA,TRUE,""
